"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"980180","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","CD","503","Tottenville and Great Kills (CD3)","2024","2024-01-01T00:00:00.000","7.160078444",
"980075","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","CD","106","Stuyvesant Town and Turtle Bay (CD6)","2024","2024-01-01T00:00:00.000","20.74193881",
"980184","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","CD","413","Queens Village (CD13)","2024","2024-01-01T00:00:00.000","10.4838143",
"980144","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF42","401","Long Island City - Astoria","2024","2024-01-01T00:00:00.000","16.06062413",
"980134","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF42","501","Port Richmond","2024","2024-01-01T00:00:00.000","13.31367249",
"980114","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","102","Northeast Bronx","2024","2024-01-01T00:00:00.000","13.98252811",
"980105","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","207","East Flatbush - Flatbush","2024","2024-01-01T00:00:00.000","14.38788376",
"980098","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","303","East Harlem","2024","2024-01-01T00:00:00.000","16.18484858",
"980081","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","Citywide","1","New York City","2024","2024-01-01T00:00:00.000","14.11295099",
"980428","1435","Ozone (O3)","Summer mean","ppb","UHF34","301","Washington Heights","2024","2024-01-01T00:00:00.000","31.3356656",
"980426","1435","Ozone (O3)","Summer mean","ppb","UHF34","210","Coney Island - Sheepshead Bay","2024","2024-01-01T00:00:00.000","35.89674479",
"980425","1435","Ozone (O3)","Summer mean","ppb","UHF34","209","Bensonhurst - Bay Ridge","2024","2024-01-01T00:00:00.000","33.76291299",
"980419","1435","Ozone (O3)","Summer mean","ppb","UHF34","203","Bedford Stuyvesant - Crown Heights","2024","2024-01-01T00:00:00.000","33.65579212",
"980421","1435","Ozone (O3)","Summer mean","ppb","UHF34","205","Sunset Park","2024","2024-01-01T00:00:00.000","32.59983669",
"980412","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","401","Long Island City and Astoria (CD1)","2024","2024-01-01T00:00:00.000","20.67445076",
"980409","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","316","Brownsville (CD16)","2024","2024-01-01T00:00:00.000","21.45432692",
"979318","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","CD","212","Williamsbridge and Baychester (CD12)","2024","2024-01-01T00:00:00.000","8.162394917",
"980407","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","314","Flatbush and Midwood (CD14)","2024","2024-01-01T00:00:00.000","20.22813291",
"979337","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","CD","105","Midtown (CD5)","2024","2024-01-01T00:00:00.000","12.78594415",
"979346","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF34","404406","Bayside Little Neck-Fresh Meadows","2024","2024-01-01T00:00:00.000","7.06223734",
"979352","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF34","408","Jamaica","2024","2024-01-01T00:00:00.000","7.275145231",
"980398","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","305","East New York and Starrett City (CD5)","2024","2024-01-01T00:00:00.000","20.69456914",
"979392","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","309","Union Square - Lower East Side","2024","2024-01-01T00:00:00.000","10.46293871",
"979400","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","301","Washington Heights","2024","2024-01-01T00:00:00.000","8.412970338",
"979407","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","205","Sunset Park","2024","2024-01-01T00:00:00.000","8.827590112",
"979367","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF34","206","Borough Park","2024","2024-01-01T00:00:00.000","8.006160397",
"979366","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF34","207","East Flatbush - Flatbush","2024","2024-01-01T00:00:00.000","7.880531722",
"980225","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","CD","202","Hunts Point and Longwood (CD2)","2024","2024-01-01T00:00:00.000","12.90026108",
"979375","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF34","102","Northeast Bronx","2024","2024-01-01T00:00:00.000","8.118984317",
"979363","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF34","210","Coney Island - Sheepshead Bay","2024","2024-01-01T00:00:00.000","7.527359081",
"980397","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","304","Bushwick (CD4)","2024","2024-01-01T00:00:00.000","21.48797621",
"980386","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","205","Fordham and University Heights (CD5)","2024","2024-01-01T00:00:00.000","19.73905127",
"980385","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","204","Highbridge and Concourse (CD4)","2024","2024-01-01T00:00:00.000","20.44467855",
"980380","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","111","East Harlem (CD11)","2024","2024-01-01T00:00:00.000","21.04630671",
"980371","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","102","Greenwich Village and Soho (CD2)","2024","2024-01-01T00:00:00.000","23.1485948",
"980367","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","UHF34","503504","Southern SI","2024","2024-01-01T00:00:00.000","15.55934671",
"980362","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","UHF34","305307","Upper East Side-Gramercy","2024","2024-01-01T00:00:00.000","23.98668471",
"980373","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","104","Clinton and Chelsea (CD4)","2024","2024-01-01T00:00:00.000","23.84692448",
"980353","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","UHF34","304","Upper West Side","2024","2024-01-01T00:00:00.000","22.4493842",
"980352","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","UHF34","303","East Harlem","2024","2024-01-01T00:00:00.000","21.04363779",
